0.000000	0.000000	
1.404926	1.404926	
2.685832	2.685832	
3.941066	3.941066	
5.260908	5.260908	
6.488453	6.488453	
7.775359	7.775359	
10.108878	10.108878	
10.756461	10.756461	
12.611402	12.611402	
13.248009	13.248009	
15.135878	15.135878	
15.750532	15.750532	
17.664469	17.664469	
18.316409	18.316409	
20.846558	20.846558	
22.103870	22.103870	
23.402801	23.402801	
24.740111	24.740111	
25.898434	25.898434	
27.139824	27.139824	
28.399673	28.399673	
29.688399	29.688399	
30.939309	30.939309	
32.274234	32.274234	
33.523786	33.523786	
34.866472	34.866472	
36.004163	36.004163	
36.594013	36.594013	
37.843565	37.843565	 
39.054310	39.054310	
