2.108018	2.108018	
3.707293	3.707293	
5.279932	5.279932	
6.905841	6.905841	
8.587837	8.587837	
10.187111	10.187111	
11.836322	11.836322	
12.838736	12.838736	
13.408023	13.408023	
15.122803	15.122803	
16.755703	16.755703	
18.293778	18.293778	
19.972120	19.972120	
22.673243	22.673243	
23.257043	23.257043	
24.948186	24.948186	
26.009810	26.009810	
26.627483	26.627483	
28.150935	28.150935	
29.773733	29.773733	
31.418857	31.418857	
33.142000	33.142000	
34.755275	34.755275	
36.437270	36.437270	
39.663392	39.663392	
40.608730	40.608730	
